"","sp","Fstat","P","Fstat","P"
"1","aduncum",3.0656815495418,0.001,3.0656815495418,0.001
"2","auritum",3.51059873255353,0.002,3.51059873255353,0.002
"3","biolleyi",2.1912363828308,0.009,2.1912363828308,0.009
"4","colonense",4.3938552931997,0.001,4.3938552931997,0.001
"5","generalense",4.10939885265796,0.001,4.10939885265796,0.002
"6","glabrescens",4.17982167511793,0.002,4.17982167511793,0.001
"7","multiplinervum",3.4499674298448,0.001,3.4499674298448,0.001
"8","peltatum",4.50203261720235,0.001,4.50203261720235,0.001
"9","reticulatum",5.37755781776388,0.001,5.37755781776388,0.002
"10","sancti-felicis",3.66619358039864,0.001,3.66619358039864,0.001
"11","silvivagum",5.18926080217745,0.001,5.18926080217745,0.001
"12","umbricola",2.89025917426582,0.002,2.89025917426582,0.001
